id,width,vehicle_mode,bus_lane,can_stop,can_park,high_occ_veh,has_road_shoulder,segment,tags
100,3.5,,0,0,0,0,0,1,
101,3.5,,0,0,0,0,0,1,
200,3.5,,0,0,0,0,0,2,
201,3.5,,0,0,0,0,0,2,
300,3.5,,0,0,0,0,0,3,
301,3.5,,0,0,0,0,0,3,
400,3.5,,0,0,0,0,0,4,
401,3.5,,0,0,0,0,0,4,
500,3.5,,0,0,0,0,0,5,
501,3.5,,0,0,0,0,0,5,
600,3.5,,0,0,0,0,0,6,
601,3.5,,0,0,0,0,0,6,
700,3.5,,0,0,0,0,0,7,
701,3.5,,0,0,0,0,0,7,
800,3.5,,0,0,0,0,0,8,
801,3.5,,0,0,0,0,0,8,
900,3.5,,0,0,0,0,0,9,
901,3.5,,0,0,0,0,0,9,
1000,3.5,,0,0,0,0,0,10,
1001,3.5,,0,0,0,0,0,10,
1100,3.5,,0,0,0,0,0,11,
1101,3.5,,0,0,0,0,0,11,
1200,3.5,,0,0,0,0,0,12,
1201,3.5,,0,0,0,0,0,12,
1300,3.5,,0,0,0,0,0,13,
1301,3.5,,0,0,0,0,0,13,
1400,3.5,,0,0,0,0,0,14,
1401,3.5,,0,0,0,0,0,14,
1500,3.5,,0,0,0,0,0,15,
1501,3.5,,0,0,0,0,0,15,
1600,3.5,,0,0,0,0,0,16,
1601,3.5,,0,0,0,0,0,16,
1700,3.5,,0,0,0,0,0,17,
1701,3.5,,0,0,0,0,0,17,
1800,3.5,,0,0,0,0,0,18,
1801,3.5,,0,0,0,0,0,18,
1900,3.5,,0,0,0,0,0,19,
1901,3.5,,0,0,0,0,0,19,
2000,3.5,,0,0,0,0,0,20,
2001,3.5,,0,0,0,0,0,20,
2100,3.5,,0,0,0,0,0,21,
2101,3.5,,0,0,0,0,0,21,
2200,3.5,,0,0,0,0,0,22,
2201,3.5,,0,0,0,0,0,22,
2300,3.5,,0,0,0,0,0,23,
2301,3.5,,0,0,0,0,0,23,
2400,3.5,,0,0,0,0,0,24,
2401,3.5,,0,0,0,0,0,24,
2500,3.5,,0,0,0,0,0,25,
2501,3.5,,0,0,0,0,0,25,
2600,3.5,,0,0,0,0,0,26,
2601,3.5,,0,0,0,0,0,26,
2700,3.5,,0,0,0,0,0,27,
2701,3.5,,0,0,0,0,0,27,
2800,3.5,,0,0,0,0,0,28,
2801,3.5,,0,0,0,0,0,28,
2900,3.5,,0,0,0,0,0,29,
2901,3.5,,0,0,0,0,0,29,
3000,3.5,,0,0,0,0,0,30,
3001,3.5,,0,0,0,0,0,30,
3100,3.5,,0,0,0,0,0,31,
3101,3.5,,0,0,0,0,0,31,
3200,3.5,,0,0,0,0,0,32,
3201,3.5,,0,0,0,0,0,32,
3300,3.5,,0,0,0,0,0,33,
3301,3.5,,0,0,0,0,0,33,
3400,3.5,,0,0,0,0,0,34,
3401,3.5,,0,0,0,0,0,34,
3500,3.5,,0,0,0,0,0,35,
3501,3.5,,0,0,0,0,0,35,
3600,3.5,,0,0,0,0,0,36,
3601,3.5,,0,0,0,0,0,36,
3700,3.5,,0,0,0,0,0,37,
3701,3.5,,0,0,0,0,0,37,
3800,3.5,,0,0,0,0,0,38,
3801,3.5,,0,0,0,0,0,38,
3900,3.5,,0,0,0,0,0,39,
3901,3.5,,0,0,0,0,0,39,
4000,3.5,,0,0,0,0,0,40,
4001,3.5,,0,0,0,0,0,40,
4100,3.5,,0,0,0,0,0,41,
4101,3.5,,0,0,0,0,0,41,
4200,3.5,,0,0,0,0,0,42,
4201,3.5,,0,0,0,0,0,42,
4300,3.5,,0,0,0,0,0,43,
4301,3.5,,0,0,0,0,0,43,
4400,3.5,,0,0,0,0,0,44,
4401,3.5,,0,0,0,0,0,44,
4500,3.5,,0,0,0,0,0,45,
4501,3.5,,0,0,0,0,0,45,
4600,3.5,,0,0,0,0,0,46,
4601,3.5,,0,0,0,0,0,46,
4700,3.5,,0,0,0,0,0,47,
4701,3.5,,0,0,0,0,0,47,
4800,3.5,,0,0,0,0,0,48,
4801,3.5,,0,0,0,0,0,48,
4900,3.5,,0,0,0,0,0,49,
4901,3.5,,0,0,0,0,0,49,
5000,3.5,,0,0,0,0,0,50,
5001,3.5,,0,0,0,0,0,50,
5100,3.5,,0,0,0,0,0,51,
5101,3.5,,0,0,0,0,0,51,
5200,3.5,,0,0,0,0,0,52,
5201,3.5,,0,0,0,0,0,52,
5300,3.5,,0,0,0,0,0,53,
5301,3.5,,0,0,0,0,0,53,
5400,3.5,,0,0,0,0,0,54,
5401,3.5,,0,0,0,0,0,54,
5500,3.5,,0,0,0,0,0,55,
5501,3.5,,0,0,0,0,0,55,
5600,3.5,,0,0,0,0,0,56,
5601,3.5,,0,0,0,0,0,56,
5700,3.5,,0,0,0,0,0,57,
5701,3.5,,0,0,0,0,0,57,
5800,3.5,,0,0,0,0,0,58,
5801,3.5,,0,0,0,0,0,58,
5900,3.5,,0,0,0,0,0,59,
5901,3.5,,0,0,0,0,0,59,
6000,3.5,,0,0,0,0,0,60,
6001,3.5,,0,0,0,0,0,60,
6100,3.5,,0,0,0,0,0,61,
6101,3.5,,0,0,0,0,0,61,
6200,3.5,,0,0,0,0,0,62,
6201,3.5,,0,0,0,0,0,62,
6300,3.5,,0,0,0,0,0,63,
6301,3.5,,0,0,0,0,0,63,
6400,3.5,,0,0,0,0,0,64,
6401,3.5,,0,0,0,0,0,64,
6500,3.5,,0,0,0,0,0,65,
6501,3.5,,0,0,0,0,0,65,
6600,3.5,,0,0,0,0,0,66,
6601,3.5,,0,0,0,0,0,66,
